quarter_date,rank,permno,permco,ticker,comnam,mcap
2009-01-01,1,11850,20678,XOM,EXXON MOBIL CORP,415274024360.0
2009-01-01,2,55976,21880,WMT,WALMART INC,224291523359.99997
2009-01-01,3,18163,21446,PG,PROCTER & GAMBLE CO,187502274000.0
2009-01-01,4,10107,8048,MSFT,MICROSOFT CORP,180713369999.99997
2009-01-01,5,12060,20792,GE,GENERAL ELECTRIC CO,179613715020.0
2009-01-01,6,66093,21645,T,A T & T INC,173372060000.0
2009-01-01,7,22111,21018,JNJ,JOHNSON & JOHNSON,168277549200.0
2009-01-01,8,14541,20440,CVX,CHEVRON CORP NEW,155472647320.0
2009-01-01,9,38703,21305,WFC,WELLS FARGO & CO NEW,124769490000.0
2009-01-01,10,21936,21394,PFE,PFIZER INC,123193422450.0
2009-01-01,11,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,117377925460.00002
2009-01-01,12,47896,20436,JPM,JPMORGAN CHASE & CO,117009423300.00002
2009-01-01,13,11308,20468,KO,COCA COLA CO,106192174500.0
2009-01-01,14,76076,10486,CSCO,CISCO SYSTEMS INC,99302275520.00002
2009-01-01,15,65875,20288,VZ,VERIZON COMMUNICATIONS INC,98394365760.0
2009-01-01,16,10104,8045,ORCL,ORACLE CORP,92900118570.00002
2009-01-01,17,59408,3151,BAC,BANK OF AMERICA CORP,91605227170.0
2009-01-01,18,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,89256260080.0
2009-01-01,19,27828,20908,HPQ,H P INC,88940358810.0
2009-01-01,20,13856,21384,PEP,PEPSICO INC,86928182370.0
2009-01-01,21,59328,2367,INTC,INTEL CORP,84542400000.0
2009-01-01,22,20482,20017,ABT,ABBOTT LABORATORIES,83102731920.0
2009-01-01,23,13928,21401,COP,CONOCOPHILLIPS,81771367300.0
2009-01-01,24,14593,7,AAPL,APPLE INC,80805161250.0
2009-01-01,25,90319,45483,GOOGL,ALPHABET INC,77140258760.73001
2009-01-01,26,43449,21177,MCD,MCDONALDS CORP,71052243750.0
2009-01-01,27,22752,21188,MRK,MERCK & CO INC NEW,65539766000.0
2009-01-01,28,14008,216,AMGN,AMGEN INC,61762530000.0
2009-01-01,29,77178,11253,QCOM,QUALCOMM INC,61095449999.99999
2009-01-01,30,14277,21576,SLB,SCHLUMBERGER LTD,54569184160.0
2009-04-01,1,11850,20678,XOM,EXXON MOBIL CORP,342109044900.00006
2009-04-01,2,55976,21880,WMT,WALMART INC,207189196640.00003
2009-04-01,3,10107,8048,MSFT,MICROSOFT CORP,171820380000.0
2009-04-01,4,66093,21645,T,A T & T INC,152754517440.0
2009-04-01,5,22111,21018,JNJ,JOHNSON & JOHNSON,146795837760.0
2009-04-01,6,18163,21446,PG,PROCTER & GAMBLE CO,141295169670.00003
2009-04-01,7,14541,20440,CVX,CHEVRON CORP NEW,136911379699.99998
2009-04-01,8,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,130961189580.0
2009-04-01,9,12060,20792,GE,GENERAL ELECTRIC CO,107486730000.0
2009-04-01,10,47896,20436,JPM,JPMORGAN CHASE & CO,105747953220.0
2009-04-01,11,11308,20468,KO,COCA COLA CO,103835557880.0
2009-04-01,12,76076,10486,CSCO,CISCO SYSTEMS INC,101914316820.00002
2009-04-01,13,14593,7,AAPL,APPLE INC,96963435899.99998
2009-04-01,14,21936,21394,PFE,PFIZER INC,94357513600.0
2009-04-01,15,10104,8045,ORCL,ORACLE CORP,92591832119.99998
2009-04-01,16,65875,20288,VZ,VERIZON COMMUNICATIONS INC,88664800000.0
2009-04-01,17,90319,45483,GOOGL,ALPHABET INC,85290366479.99998
2009-04-01,18,59328,2367,INTC,INTEL CORP,83942550000.0
2009-04-01,19,13856,21384,PEP,PEPSICO INC,81292492820.0
2009-04-01,20,27828,20908,HPQ,H P INC,78800635440.00002
2009-04-01,21,20482,20017,ABT,ABBOTT LABORATORIES,72169386100.00002
2009-04-01,22,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,71827882000.0
2009-04-01,23,77178,11253,QCOM,QUALCOMM INC,65591040000.0
2009-04-01,24,43449,21177,MCD,MCDONALDS CORP,61516479280.0
2009-04-01,25,38703,21305,WFC,WELLS FARGO & CO NEW,61450919040.0
2009-04-01,26,13928,21401,COP,CONOCOPHILLIPS,58913591800.0
2009-04-01,27,15667,20086,WYE,WYETH,57650312800.0
2009-04-01,28,22752,21188,MRK,MERCK & CO INC NEW,56886553099.99999
2009-04-01,29,86868,35048,GS,GOLDMAN SACHS GROUP INC,50970302920.0
2009-04-01,30,14277,21576,SLB,SCHLUMBERGER LTD,49157737200.0
2009-07-01,1,11850,20678,XOM,EXXON MOBIL CORP,344312337600.0
2009-07-01,2,10107,8048,MSFT,MICROSOFT CORP,214148320000.0
2009-07-01,3,55976,21880,WMT,WALMART INC,188479412660.0
2009-07-01,4,22111,21018,JNJ,JOHNSON & JOHNSON,157260151620.0
2009-07-01,5,18163,21446,PG,PROCTER & GAMBLE CO,151564504000.0
2009-07-01,6,66093,21645,T,A T & T INC,147913000000.0
2009-07-01,7,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,138388800000.0
2009-07-01,8,14541,20440,CVX,CHEVRON CORP NEW,133350781440.0
2009-07-01,9,47896,20436,JPM,JPMORGAN CHASE & CO,131736770000.00002
2009-07-01,10,14593,7,AAPL,APPLE INC,127937830050.00002
2009-07-01,11,12060,20792,GE,GENERAL ELECTRIC CO,124745193500.0
2009-07-01,12,11308,20468,KO,COCA COLA CO,113851601640.0
2009-07-01,13,38703,21305,WFC,WELLS FARGO & CO NEW,113576792940.0
2009-07-01,14,10104,8045,ORCL,ORACLE CORP,108857180199.99998
2009-07-01,15,76076,10486,CSCO,CISCO SYSTEMS INC,108436162800.0
2009-07-01,16,59408,3151,BAC,BANK OF AMERICA CORP,103356000000.0
2009-07-01,17,90319,45483,GOOGL,ALPHABET INC,101305494732.15
2009-07-01,18,21936,21394,PFE,PFIZER INC,100544887100.00002
2009-07-01,19,59328,2367,INTC,INTEL CORP,95372880000.0
2009-07-01,20,27828,20908,HPQ,H P INC,92300614160.0
2009-07-01,21,13856,21384,PEP,PEPSICO INC,87989827320.00002
2009-07-01,22,65875,20288,VZ,VERIZON COMMUNICATIONS INC,87546490680.0
2009-07-01,23,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,86485929930.0
2009-07-01,24,77178,11253,QCOM,QUALCOMM INC,74920440000.0
2009-07-01,25,86868,35048,GS,GOLDMAN SACHS GROUP INC,74163986754.20999
2009-07-01,26,20482,20017,ABT,ABBOTT LABORATORIES,72080207760.0
2009-07-01,27,14277,21576,SLB,SCHLUMBERGER LTD,64940971960.0
2009-07-01,28,43449,21177,MCD,MCDONALDS CORP,64230807460.0
2009-07-01,29,13928,21401,COP,CONOCOPHILLIPS,62314161240.0
2009-07-01,30,15667,20086,WYE,WYETH,60518997629.99999
2009-10-01,1,11850,20678,XOM,EXXON MOBIL CORP,323285493299.99994
2009-10-01,2,10107,8048,MSFT,MICROSOFT CORP,221432000000.0
2009-10-01,3,55976,21880,WMT,WALMART INC,188984523000.0
2009-10-01,4,12060,20792,GE,GENERAL ELECTRIC CO,169710666740.0
2009-10-01,5,18163,21446,PG,PROCTER & GAMBLE CO,165274063100.0
2009-10-01,6,22111,21018,JNJ,JOHNSON & JOHNSON,164825235340.0
2009-10-01,7,14593,7,AAPL,APPLE INC,162738814181.34
2009-10-01,8,47896,20436,JPM,JPMORGAN CHASE & CO,162690545010.0
2009-10-01,9,66093,21645,T,A T & T INC,156999000000.0
2009-10-01,10,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,154553223600.0
2009-10-01,11,59408,3151,BAC,BANK OF AMERICA CORP,140242354950.00003
2009-10-01,12,14541,20440,CVX,CHEVRON CORP NEW,137999349530.0
2009-10-01,13,76076,10486,CSCO,CISCO SYSTEMS INC,133676507120.0
2009-10-01,14,38703,21305,WFC,WELLS FARGO & CO NEW,124264799400.0
2009-10-01,15,11308,20468,KO,COCA COLA CO,123102519039.99998
2009-10-01,16,90319,45483,GOOGL,ALPHABET INC,116963568000.73001
2009-10-01,17,21936,21394,PFE,PFIZER INC,110078522330.0
2009-10-01,18,27828,20908,HPQ,H P INC,108974285280.0
2009-10-01,19,59328,2367,INTC,INTEL CORP,104327999999.99998
2009-10-01,20,70519,20483,C,CITIGROUP INC,103647781650.0
2009-10-01,21,10104,8045,ORCL,ORACLE CORP,102068100480.0
2009-10-01,22,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,93473010560.0
2009-10-01,23,86868,35048,GS,GOLDMAN SACHS GROUP INC,91506315742.37001
2009-10-01,24,13856,21384,PEP,PEPSICO INC,91080621540.0
2009-10-01,25,65875,20288,VZ,VERIZON COMMUNICATIONS INC,85247846480.0
2009-10-01,26,20482,20017,ABT,ABBOTT LABORATORIES,75254996160.0
2009-10-01,27,77178,11253,QCOM,QUALCOMM INC,71322365100.00002
2009-10-01,28,14277,21576,SLB,SCHLUMBERGER LTD,68431627990.00001
2009-10-01,29,13928,21401,COP,CONOCOPHILLIPS,67472086500.0
2009-10-01,30,22752,21188,MRK,MERCK & CO INC NEW,65754410700.0
2010-01-01,1,11850,20678,XOM,EXXON MOBIL CORP,327210746700.00006
2010-01-01,2,10107,8048,MSFT,MICROSOFT CORP,272700450000.0
2010-01-01,3,55976,21880,WMT,WALMART INC,206625627560.0
2010-01-01,4,14593,7,AAPL,APPLE INC,193953401757.17996
2010-01-01,5,18163,21446,PG,PROCTER & GAMBLE CO,178576382079.99997
2010-01-01,6,22111,21018,JNJ,JOHNSON & JOHNSON,178458588000.00003
2010-01-01,7,47896,20436,JPM,JPMORGAN CHASE & CO,175896421900.0
2010-01-01,8,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,173986717350.0
2010-01-01,9,66093,21645,T,A T & T INC,168650580000.0
2010-01-01,10,12060,20792,GE,GENERAL ELECTRIC CO,164503797750.0
2010-01-01,11,14541,20440,CVX,CHEVRON CORP NEW,158615548080.0
2010-01-01,12,21936,21394,PFE,PFIZER INC,152756316480.0
2010-01-01,13,90319,45483,GOOGL,ALPHABET INC,152683194250.0
2010-01-01,14,76076,10486,CSCO,CISCO SYSTEMS INC,142031323650.0
2010-01-01,15,38703,21305,WFC,WELLS FARGO & CO NEW,139682515600.0
2010-01-01,16,59408,3151,BAC,BANK OF AMERICA CORP,135722767680.0
2010-01-01,17,11308,20468,KO,COCA COLA CO,132172004240.0
2010-01-01,18,10104,8045,ORCL,ORACLE CORP,124528817000.0
2010-01-01,19,27828,20908,HPQ,H P INC,124000664050.00002
2010-01-01,20,59328,2367,INTC,INTEL CORP,115320240000.0
2010-01-01,21,22752,21188,MRK,MERCK & CO INC NEW,113046156759.99998
2010-01-01,22,13856,21384,PEP,PEPSICO INC,95561651800.0
2010-01-01,23,65875,20288,VZ,VERIZON COMMUNICATIONS INC,94536765440.0
2010-01-01,24,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,93996204750.0
2010-01-01,25,86868,35048,GS,GOLDMAN SACHS GROUP INC,88977312560.0
2010-01-01,26,20482,20017,ABT,ABBOTT LABORATORIES,84235351480.0
2010-01-01,27,14277,21576,SLB,SCHLUMBERGER LTD,80583272040.0
2010-01-01,28,77178,11253,QCOM,QUALCOMM INC,78577560000.0
2010-01-01,29,13928,21401,COP,CONOCOPHILLIPS,78012630520.0
2010-01-01,30,70519,20483,C,CITIGROUP INC,77737419800.0
2010-04-01,1,11850,20678,XOM,EXXON MOBIL CORP,319205267530.0
2010-04-01,2,10107,8048,MSFT,MICROSOFT CORP,255499920000.0
2010-04-01,3,14593,7,AAPL,APPLE INC,214646806920.0
2010-04-01,4,55976,21880,WMT,WALMART INC,208587353920.00003
2010-04-01,5,12060,20792,GE,GENERAL ELECTRIC CO,195633743760.0
2010-04-01,6,18163,21446,PG,PROCTER & GAMBLE CO,184035012480.0
2010-04-01,7,22111,21018,JNJ,JOHNSON & JOHNSON,181279285970.0
2010-04-01,8,59408,3151,BAC,BANK OF AMERICA CORP,180980220519.99997
2010-04-01,9,47896,20436,JPM,JPMORGAN CHASE & CO,179500636980.0
2010-04-01,10,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,166597134750.0
2010-04-01,11,38703,21305,WFC,WELLS FARGO & CO NEW,162751669470.0
