,account_value
0,1000000.0
1,999152.449506668
2,1000573.3265828462
3,999424.9774534277
4,999952.4069175203
5,1001617.1824028344
6,1000742.5803114487
7,1001719.9979005558
8,1003132.1668771014
9,1002242.8284791685
10,1003506.723036336
11,1002283.9218192339
12,1002416.9495787566
13,1002443.2080255346
14,1002401.9383746014
15,1001102.2727699269
16,1002062.5088074454
17,1002530.4679931618
18,1001036.6799295476
19,1000797.1280299177
20,1001616.4662917282
21,1001413.3212512551
22,1000887.3412863333
23,1002292.2394573427
24,1002583.040304463
25,1003003.4468402948
26,1002640.2110960466
27,1001489.0204687874
28,1000623.1948035827
29,1001336.5429147714
30,1001740.5084904846
31,1002551.557715147
32,1001605.8697553935
33,1001748.256185714
34,1000771.1253667074
35,1001311.5091584692
36,1001171.257050667
37,1000506.7807649248
38,999377.9534638888
39,1001258.9594448224
40,1002868.2101498105
41,1003651.3072512682
42,1004463.8519954792
43,1005282.1748991449
44,1003947.7926048973
45,1004409.4911228282
46,1002867.8199283698
47,1004472.4479276637
48,1004771.4283560023
49,1005396.9562832724
50,1005023.8682951197
51,1007675.8390601237
52,1008526.51924671
53,1008830.5268547983
54,1010525.1419734244
55,1010680.7212535975
56,1011468.3884577418
57,1011395.2456973406
58,1011404.0609863304
59,1012050.9776939746
60,1011521.1942934458
61,1011245.151214253
62,1011100.5235726372
