,account_value
0,1201543.6574129348
1,1199135.0107369046
2,1199814.8620258332
3,1196721.4401574982
4,1195861.3658009907
5,1190597.5316169404
6,1189192.6591470572
7,1173572.5354495144
8,1183212.920413763
9,1179246.5302778496
10,1166442.892155905
11,1177883.6435479303
12,1171650.3149075343
13,1177975.072466346
14,1187938.0091287845
15,1184515.5845144782
16,1178056.608565103
17,1175055.2797987734
18,1168895.5763420202
19,1169056.497741623
20,1166442.1085079415
21,1159536.2929507683
22,1166212.086450351
23,1164441.0700578145
24,1159081.0054216941
25,1159434.3838165
26,1156774.726430057
27,1155733.071874879
28,1157157.9301934023
29,1154869.6997163375
30,1137729.2787845628
31,1139849.2394101357
32,1144733.9593234225
33,1142888.813859134
34,1144818.690134569
35,1146671.412134219
36,1144784.7409614082
37,1146025.3226714295
38,1144473.0002150724
39,1146120.5226467517
40,1150960.5876634324
41,1154864.3041624448
42,1154344.2172037407
43,1154052.286667744
44,1158313.8039548195
45,1159387.4031683924
46,1168645.0233520682
47,1168826.8414796176
48,1176300.5344623402
49,1173299.0960004772
50,1163384.0251249287
51,1160008.8729576718
52,1170960.600582867
53,1165778.6339191229
54,1161116.7908184677
55,1161519.0366917693
56,1163646.3489381582
57,1164936.468624164
58,1158255.4030670552
59,1164300.442601041
60,1156876.4412417293
61,1187798.351740012
62,1195584.9561564543
