,account_value
0,1625971.6809912925
1,1624508.1579357625
2,1602139.3245092817
3,1594997.5269064521
4,1562218.1660499934
5,1558235.2637792367
6,1558855.6441638195
7,1560325.3801825303
8,1565204.160439708
9,1583049.0773962922
10,1591604.1042340687
11,1594282.2329772802
12,1592266.4762829253
13,1572012.9945075952
14,1564412.833009079
15,1576068.5550146047
16,1554921.3459466984
17,1572857.9368608885
18,1581821.8113875573
19,1581955.48200805
20,1587827.2937792405
21,1580708.9790688772
22,1592509.8945847093
23,1601521.12064984
24,1601974.960609374
25,1606485.449011279
26,1612937.347594366
27,1615684.1228182036
28,1627382.8465823373
29,1637473.7721320146
30,1621411.912687251
31,1627458.6819952466
32,1628792.145535295
33,1587991.3643940478
34,1585873.4368233236
35,1579053.6822586416
36,1562330.342262372
37,1565824.5158801654
38,1593106.7582808838
39,1593398.4455056803
40,1594536.259326237
41,1591101.3679688864
42,1596714.8986967162
43,1597965.7092836152
44,1600584.6638677726
45,1584419.0799264277
46,1570727.2724638467
47,1568677.999420332
48,1562658.1967236646
49,1565452.2386912073
50,1565220.2107589743
51,1586462.911365181
52,1583115.6915969194
53,1601926.2427392069
54,1587250.4275350731
55,1588301.7918223573
56,1591639.3334616597
57,1600625.8687266076
58,1609434.8371715294
59,1612180.6326440943
60,1608093.3333814037
61,1604865.91500067
62,1602831.6143367377
