,account_value
0,1272796.8843781156
1,1270195.5545471143
2,1273384.1500227766
3,1282846.2498442107
4,1277916.3628324918
5,1279011.8274950818
6,1293602.8235580397
7,1297036.1940669755
8,1336431.2781778134
9,1333222.1722014342
10,1326482.6301107549
11,1323873.7992052755
12,1328222.5593634062
13,1327476.2350247374
14,1304859.4755938635
15,1311273.4995203314
16,1309928.9167127504
17,1296635.562237193
18,1310419.504841815
19,1307830.470094184
20,1311256.5204857625
21,1333111.636042388
22,1337341.9658083182
23,1353902.5604693517
24,1350348.4894586478
25,1343665.8879957036
26,1341296.9453022757
27,1327423.3379142962
28,1322924.6844217023
29,1316651.8912321576
30,1313066.2277047834
31,1338420.0315511236
32,1330388.0468107976
33,1337494.325767644
34,1343834.9267756396
35,1351797.9842980166
36,1346254.0287205954
37,1330491.3784524489
38,1341625.7655959043
39,1333040.0939880856
40,1329450.6615724668
41,1324890.8052815732
42,1327194.6164879065
43,1337502.3875279417
44,1337505.542087079
45,1346462.0824705705
46,1343347.6462425375
47,1323730.6156621561
48,1336714.3888798114
49,1330347.848845784
50,1325166.6133819686
51,1332251.0210460005
52,1333778.3728077575
53,1336665.0920306311
54,1336988.1798741217
55,1341638.130015422
56,1341421.675974971
57,1334636.9216129256
58,1341921.3130906783
59,1349102.8559188338
60,1337914.1798396292
61,1321589.973685973
62,1358301.4485397253
