,account_value
0,1212054.4870545315
1,1219126.7761950206
2,1210770.0310989572
3,1212679.4072468933
4,1222599.9990553884
5,1212707.2224734093
6,1220386.5594231412
7,1219088.4189677897
8,1214754.157528341
9,1211705.511287311
10,1204246.2178111703
11,1186787.7764591647
12,1190356.2844897348
13,1169380.2236033597
14,1175404.3551030427
15,1189361.2693012562
16,1191155.659375998
17,1185426.9455946202
18,1227823.5537320785
19,1237170.3290570965
20,1255002.8403536149
21,1269695.8968139773
22,1258877.4591121066
23,1256944.7261679878
24,1256262.8058466397
25,1267518.0010852658
26,1275379.554173263
27,1261123.2539397432
28,1250603.747294293
29,1246439.5795313413
30,1262297.7400635194
31,1263784.3114136376
32,1250591.0403695002
33,1243596.6751566052
34,1232889.654076497
35,1217038.0504248792
36,1211576.1804160287
37,1243217.411814018
38,1238535.2878352278
39,1207139.9449579506
40,1228225.0524485346
41,1229259.4689176732
42,1216098.025735643
43,1183274.7743693697
44,1180470.1186001345
45,1208842.036577433
46,1208051.3761769491
47,1202887.5771463888
48,1211346.9097529862
49,1230176.3460919166
50,1244332.9749518533
51,1259897.6169097307
52,1272169.448489706
53,1275575.411763063
54,1283779.6741213345
55,1273787.4423533122
56,1290726.4943319242
57,1304063.148398447
58,1304728.8246672086
59,1312521.8677082236
60,1313025.4517398379
61,1295024.5212591246
62,1306819.4509985836
