,account_value
0,1187068.1639361423
1,1184435.4570423153
2,1175279.017621981
3,1183278.370639711
4,1169156.7243115783
5,1162526.7900572917
6,1159642.2791553068
7,1157623.944251468
8,1160605.4855499684
9,1163941.5177966112
10,1166195.9039189005
11,1176176.126369028
12,1175290.9633546043
13,1151771.283031102
14,1157936.437459816
15,1175474.2682534268
16,1150219.9130021401
17,1148860.2315606978
18,1164934.9384638474
19,1181051.1860595685
20,1185704.8085766018
21,1189187.462072952
22,1196268.3279435323
23,1211190.7278603178
24,1215005.3761100203
25,1221139.6802211427
26,1229731.1804020265
27,1234214.1898559951
28,1231204.5163838218
29,1241767.854346832
30,1240284.9296575668
31,1241588.8839999896
32,1234918.4865229335
33,1209128.6482184292
34,1216595.8605651716
35,1211542.358361414
36,1194158.0869687512
37,1199702.0480838034
38,1212965.4847263044
39,1212329.1926610665
40,1211043.9383593365
41,1212543.2770560565
42,1209903.3989279638
43,1213899.931563356
44,1209211.0049977405
45,1216381.014545082
46,1218547.2221850927
47,1220464.5373770338
48,1210782.0925497834
49,1218530.0399265196
50,1216937.578047684
51,1219136.048399211
52,1211186.157365369
53,1223093.1588964483
54,1216622.2591172217
55,1223306.984551746
56,1231488.1175898656
57,1241304.289791382
58,1251719.0860560266
59,1259540.040927718
60,1260793.8216455807
61,1261344.7775151895
62,1265165.7533732555
